name,category,manufacturer,supplier,unit,pack_size,hsn_code,gst_rate,batch_no,purchase_price,sale_price,mrp_price,quantity,reorder_level,expiry_date
OFLAB 200 MG 10 TAB,,*CONCEPT PHARMACEUTICALS.,,,,3004,12,,43.1,,56,,,
SYNABRON EXP 100 ML,,*CONCEPT PHARMACEUTICALS.,,,,3004,12,,34.64,,45,,,
ACNELAK 4IN 1 100ML,,A.N.PHARMACIA.,,,,3004,18,,267.8,,395,,,
FLUZIN 1 10,,A.N.PHARMACIA.,,,,29309040,12,,28.74,,40.24,,,
"GERIVIT FORT CAPSUL 10,S",,A.N.PHARMACIA.,,,,3004,12,,174.57,,330,,,
MERITAL 5 TAB 10S,,A.N.PHARMACIA.,,,,3004,12,,46.82,,65.52,,,
MERITAL H TAB 10S,,A.N.PHARMACIA.,,,,3004,12,,38.94,,54.52,,,
NORVAL H TAB 10S,,A.N.PHARMACIA.,,,,3004,12,,52.05,,72.85,,,
NORVAL TAB 10'S,,A.N.PHARMACIA.,,,,3004,12,,55.01,,77,,,
"NORVALETTE 10,S",,A.N.PHARMACIA.,,,,3003,12,,25.28,,35.39,,,
VIVAX 10 MG.TAB 10S,,A.N.PHARMACIA.,,,,3004,12,,19.11,,26.76,,,
VIVAX-5 TAB 10'S,,A.N.PHARMACIA.,,,,3004,12,,35.21,,49.28,,,
"AMBISTRYB-C-0,75 1VIAL",,ABBOT PHARMACEUTICALS.,,,,3004,12,,8.08,,10.6,,,
AMOXYCLAV 625MG 10TAB,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,74.36,,204.94,,,
"ANTOXIPAN/ABBOTT 15,S",,ABBOT PHARMACEUTICALS.,,,,30040,18,,315.53,,466,,,
ARACHITOL NANO 5ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,169.23,,236.92,,,
ASCABIOL 120ML 120ML,,ABBOT PHARMACEUTICALS.,,,,29309040,12,,124.54,,174.36,,,
BETONIN JR.SYP 100ML,,ABBOT PHARMACEUTICALS.,,,,3004,12,,43.93,,61.5,,,
BRUFEN 200 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,4.24,,5.94,,,
BRUFEN 400 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,14.39,,20.14,,,
BRUFEN 600 MG 15S,,ABBOT PHARMACEUTICALS.,,,,3004,12,,30.27,,42.38,,,
